;Verknüfungen:;Arbeitsdienstnummer ist in Verbrauch, Ernährung und Terrarienpflege zu finden;;;;;
;;;;;;;
;Arbeitsdiensttypen;;;Differenz bis zur nächsten Ausführung in Tagen;bei +2 Tagen muss geprüft werden, ob dieser Tag ein Wochentag ist;;
;AT_ID;Bezeichnung;Beschreibung;Frequenz wörtlich;Frequenz;;
;1;Fütterung carnivor 1x/Woche;Futterreste entsorgen, Futtertiere zum Jagen ins Gehege setzen;Mi;7;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (1, 'Fütterung carnivor 1x/Woche', 'Futterreste entsorgen, Futtertiere zum Jagen ins Gehege setzen', 7);"
;2;Fütterung carnivor 2x/Woche;;Mo, Fr;4;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (2, 'Fütterung carnivor 2x/Woche', '', 4);"
;3;Fütterung carnivor 3x/Woche;;Mo, Mi, Fr;2;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (3, 'Fütterung carnivor 3x/Woche', '', 2);"
;4;Frischwasser;Wasserschale reinigen und neu befüllen;1x / Tag;1;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (4, 'Frischwasser', 'Wasserschale reinigen und neu befüllen', 1);"
;5;Bodenbelagreinigung;Sand komplett aus dem Terrarium entfernen, reinigen bzw. erneuern;2x / Jahr (365/2);182;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (5, 'Bodenbelagreinigung', 'Sand komplett aus dem Terrarium entfernen, reinigen bzw. erneuern', 182);"
;6;Gießen;Lebendpflanzen in und vor den Terrarien;1x / Woche;7;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (6, 'Gießen', 'Lebendpflanzen in und vor den Terrarien', 7);"
;7;Terrarienglasreinigung;Teil der Genralreinigung, wenn das Terrarium ausgeräumt wurde;6x / Jahr (365/6);61;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (7, 'Terrarienglasreinigung', 'Teil der Genralreinigung, wenn das Terrarium ausgeräumt wurde', 61);"
ALT!;8;Terrariumgeneralreinigung;gesamtes Terrarieninventar ausräumen und abspülen;6x / Jahr;61;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (8, 'Terrariumgeneralreinigung', 'gesamtes Terrarieninventar ausräumen und abspülen', 61);"
9;9;Sprühen morgens;zur Erhöhung der Luftfeuchtigkeit;insgesamt 2-3x / Tag;1;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (9, 'Sprühen morgens', 'zur Erhöhung der Luftfeuchtigkeit', 1);"
;10;Sprühen mittags;zur Erhöhung der Luftfeuchtigkeit;;1;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (10, 'Sprühen mittags', 'zur Erhöhung der Luftfeuchtigkeit', 1);"
;11;Sprühen abends;zur Erhöhung der Luftfeuchtigkeit;;1;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (11, 'Sprühen abends', 'zur Erhöhung der Luftfeuchtigkeit', 1);"
10;12;Terrariumreinigung;Exkremente und andere grobe Verschmutzungen beseitigen;1x / Tag;1;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (12, 'Terrariumreinigung', 'Exkremente und andere grobe Verschmutzungen beseitigen', 1);"
11;13;Fütterung vegetarisch 1x;Futtertrog reinigen, vorbereiten, verteilen;Mi;7;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (13, 'Fütterung vegetarisch 1x', 'Futtertrog reinigen, vorbereiten, verteilen', 7);"
12;14;Fütterung vegetarisch 2x;;Mo, Fr;4;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (14, 'Fütterung vegetarisch 2x', '', 4);"
13;15;Fütterung vegetarisch 3x;;Mo, Mi, Fr;2;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (15, 'Fütterung vegetarisch 3x', '', 2);"
14;16;Leuchtmittel prüfen;UV-Lampen mithilfe eines Messgerätes, Wärmelampen über den Tastsinn (auf sichere Entfernung) auf Leistung prüfen;2x / Jahr;182;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (16, 'Leuchtmittel prüfen', 'UV-Lampen mithilfe eines Messgerätes, Wärmelampen über den Tastsinn (auf sichere Entfernung) auf Leistung prüfen', 182);"
15;17;Leuchtmittel wechseln;Leuchtmittel nach Prüfung ersetzen bei zuwenig Leistung oder nach Totalausfall;-;;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (17, 'Leuchtmittel wechseln', 'Leuchtmittel nach Prüfung ersetzen bei zuwenig Leistung oder nach Totalausfall', );"
16;18;Wasserbeckenreinigung;nach Bedarf bei entsprechender Verschmutzung, tägliche Prüfung nötig;1x / Tag;1;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (18, 'Wasserbeckenreinigung', 'nach Bedarf bei entsprechender Verschmutzung, tägliche Prüfung nötig', 1);"
17;19;Fütterung aquatisch;Fischpellets ins Wasser geben;1x / Woche;7;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (19, 'Fütterung aquatisch', 'Fischpellets ins Wasser geben', 7);"
18;20;Inventur;aller Lebewesen und Bestandsgegenstände prüfen und ggf. Bestellung auslösen;1. Montag im Jahr;365;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (20, 'Inventur', 'aller Lebewesen und Bestandsgegenstände prüfen und ggf. Bestellung auslösen', 365);"
19;21;Lager prüfen, halbjährig;Lagerbestand prüfen und ggf. Bestellung (z.B. Leuchtmittel);2x im Jahr;182;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (21, 'Lager prüfen, halbjährig', 'Lagerbestand prüfen und ggf. Bestellung (z.B. Leuchtmittel)', 182);"
20;22;Lager prüfen, vierteljährig;Lagerbestand prüfen und ggf. Bestellung (z.B. Bodenbeläge);4x;91;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (22, 'Lager prüfen, vierteljährig', 'Lagerbestand prüfen und ggf. Bestellung (z.B. Bodenbeläge)', 91);"
21;23;Lager prüfen, monatlich;Lagerbestand prüfen und ggf. Bestellung (z.B. täglicher Bedarf);12x / Jahr;30;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (23, 'Lager prüfen, monatlich', 'Lagerbestand prüfen und ggf. Bestellung (z.B. täglicher Bedarf)', 30);"
;24;;;;;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (24, '', '', );"
;25;;;;;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (25, '', '', );"
;26;;;;;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (26, '', '', );"
;27;;;;;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (27, '', '', );"
;28;;;;;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (28, '', '', );"
;29;;;;;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (29, '', '', );"
;30;;;;;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (30, '', '', );"
;31;;;;;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (31, '', '', );"
;32;;;;;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (32, '', '', );"
;33;;;;;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (33, '', '', );"
;34;;;;;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (34, '', '', );"
;35;;;;;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (35, '', '', );"
;36;;;;;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (36, '', '', );"
;37;;;;;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (37, '', '', );"
;38;;;;;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (38, '', '', );"
;39;;;;;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (39, '', '', );"
;40;;;;;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (40, '', '', );"
;41;;;;;;"INSERT INTO Arbeitsdiensttypen (AT_ID, Bezeichnung, Beschreibung, Frequenz) VALUES (41, '', '', );"
