Verknüfungen:;zu jedem Eintrag hier gibt es weitere Eigenschaften in anderer Tabelle (Sand, Pflanzen, Leuchtmittel usw);;;;;;
;in der Tabelle Verbrauch wird mit den Terrarien verknüpft;;;;;;
Verbrauchsmittel;;;in Stück;in Stück;in €;;
VM_ID;Bezeichnung;Beschreibung;Lager_min;Lager_akt;Kosten;;
1;Tageslichtlampe groß;? Röhre von …cm Länge;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (1, 'Tageslichtlampe groß', '? Röhre von …cm Länge', , , );"
2;Tageslichtlampe mittel;? Röhre von …cm Länge;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (2, 'Tageslichtlampe mittel', '? Röhre von …cm Länge', , , );"
3;Tageslichtlampe klein;? Röhre von …cm Länge;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (3, 'Tageslichtlampe klein', '? Röhre von …cm Länge', , , );"
4;Wärmelampe groß;? Strahler mit …cm Durchmesser;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (4, 'Wärmelampe groß', '? Strahler mit …cm Durchmesser', , , );"
5;Wärmelampe mittel;? Strahler mit …cm Durchmesser;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (5, 'Wärmelampe mittel', '? Strahler mit …cm Durchmesser', , , );"
6;Wärmelampe klein;? Strahler mit …cm Durchmesser;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (6, 'Wärmelampe klein', '? Strahler mit …cm Durchmesser', , , );"
7;UV-Lampe groß;? Strahler mit …cm Durchmesser;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (7, 'UV-Lampe groß', '? Strahler mit …cm Durchmesser', , , );"
8;UV-Lampe mittel;? Strahler mit …cm Durchmesser;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (8, 'UV-Lampe mittel', '? Strahler mit …cm Durchmesser', , , );"
9;UV-Lampe klein;? Strahler mit …cm Durchmesser;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (9, 'UV-Lampe klein', '? Strahler mit …cm Durchmesser', , , );"
10;Topfpflanze klein;Sukkulenten, wie …;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (10, 'Topfpflanze klein', 'Sukkulenten, wie …', , , );"
11;Topfpflanze mittel;z.B. Gummibaum;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (11, 'Topfpflanze mittel', 'z.B. Gummibaum', , , );"
12;Topfpflanze groß;z.B. Gummibaum;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (12, 'Topfpflanze groß', 'z.B. Gummibaum', , , );"
13;künstliche Topflanze;vollständiges Imitat im Topf;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (13, 'künstliche Topflanze', 'vollständiges Imitat im Topf', , , );"
14;künstliche Pflanze;aufgesetzt auf einen Stein, häufig Kakteen;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (14, 'künstliche Pflanze', 'aufgesetzt auf einen Stein, häufig Kakteen', , , );"
15;künstliches Pflanzenteil;Ast oder Ranke mit meist kleinen Blättern;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (15, 'künstliches Pflanzenteil', 'Ast oder Ranke mit meist kleinen Blättern', , , );"
16;Rindenmulch fein;häufig in Kombination mit Moos verwendet;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (16, 'Rindenmulch fein', 'häufig in Kombination mit Moos verwendet', , , );"
17;Rindenmulch grob;häufig in Kombination mit Moos verwendet;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (17, 'Rindenmulch grob', 'häufig in Kombination mit Moos verwendet', , , );"
18;Sand;bodenfüllend aufgebracht in unterschiedlichen Höhen;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (18, 'Sand', 'bodenfüllend aufgebracht in unterschiedlichen Höhen', , , );"
19;Sandimitat;direkt und fest auf dem Untergrund aufgebracht;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (19, 'Sandimitat', 'direkt und fest auf dem Untergrund aufgebracht', , , );"
20;Moos;als Ballen in getrockneter Form zusätzlich zu anderem Untergrund ;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (20, 'Moos', 'als Ballen in getrockneter Form zusätzlich zu anderem Untergrund ', , , );"
21;Holzteil klein;Äste und Wurzeln im Durchmesser von ca. 3 bis 5cm;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (21, 'Holzteil klein', 'Äste und Wurzeln im Durchmesser von ca. 3 bis 5cm', , , );"
22;Holzteil groß;Äste und Wurzeln im Durchmesser über 5cm sowie ganze Stamm-/Wurzelteile;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (22, 'Holzteil groß', 'Äste und Wurzeln im Durchmesser über 5cm sowie ganze Stamm-/Wurzelteile', , , );"
23;Häuschen/Unterschlupf;meist verschiebbare Höhlen mit einem Eingang;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (23, 'Häuschen/Unterschlupf', 'meist verschiebbare Höhlen mit einem Eingang', , , );"
24;Steinplatte;häufig quadratisch mit Kantenlänge etwa 20 biw 30 cm;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (24, 'Steinplatte', 'häufig quadratisch mit Kantenlänge etwa 20 biw 30 cm', , , );"
25;Stein;mehr oder weniger rund;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (25, 'Stein', 'mehr oder weniger rund', , , );"
26;Aquariumfilter;sorgt für sauberes Wasser;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (26, 'Aquariumfilter', 'sorgt für sauberes Wasser', , , );"
27;Schwimmbecken klein;Becken in das Tiere gänzlich eintauchen können;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (27, 'Schwimmbecken klein', 'Becken in das Tiere gänzlich eintauchen können', , , );"
28;Schwimmbecken mittel;Becken in das Tiere gänzlich eintauchen können;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (28, 'Schwimmbecken mittel', 'Becken in das Tiere gänzlich eintauchen können', , , );"
29;Schwimmbecken groß;Becken in das Tiere gänzlich eintauchen können;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (29, 'Schwimmbecken groß', 'Becken in das Tiere gänzlich eintauchen können', , , );"
30;Wasserschale;Behältnis zur Wasseraufnahme / Trinken;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (30, 'Wasserschale', 'Behältnis zur Wasseraufnahme / Trinken', , , );"
31;Kies;kleine Steine bodenfüllend aufgebracht in unterschiedlichen Höhen;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (31, 'Kies', 'kleine Steine bodenfüllend aufgebracht in unterschiedlichen Höhen', , , );"
32;Aquarium klein;zum Schwimmen innerhalb eines Terrariums;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (32, 'Aquarium klein', 'zum Schwimmen innerhalb eines Terrariums', , , );"
33;Algen;in Aquarien und Schwimmbecken eingesetzt;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (33, 'Algen', 'in Aquarien und Schwimmbecken eingesetzt', , , );"
34;Kokosnusschale;trockene, halbe Schale;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (34, 'Kokosnusschale', 'trockene, halbe Schale', , , );"
35;Aquarium groß;zum Schwimmen innerhalb eines Terrariums;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (35, 'Aquarium groß', 'zum Schwimmen innerhalb eines Terrariums', , , );"
36;Muschel;halbe Schale in unterschiedlichen Größen, Farben und Formen;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (36, 'Muschel', 'halbe Schale in unterschiedlichen Größen, Farben und Formen', , , );"
37;Sisalring;geschlossener Ring, etwa 30cm Durchmesser;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (37, 'Sisalring', 'geschlossener Ring, etwa 30cm Durchmesser', , , );"
38;Dripper;Gerät, um Trinkwasser tropfenweise abzugeben;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (38, 'Dripper', 'Gerät, um Trinkwasser tropfenweise abzugeben', , , );"
39;Salatschale;Behältnis zur Bereitstellung von Salat und Gemüse;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (39, 'Salatschale', 'Behältnis zur Bereitstellung von Salat und Gemüse', , , );"
40;;;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (40, '', '', , , );"
41;;;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (41, '', '', , , );"
42;;;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (42, '', '', , , );"
43;;;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (43, '', '', , , );"
44;;;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (44, '', '', , , );"
45;;;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (45, '', '', , , );"
46;;;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (46, '', '', , , );"
47;;;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (47, '', '', , , );"
48;;;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (48, '', '', , , );"
49;;;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (49, '', '', , , );"
50;;;;;;;"INSERT INTO Verbrauchsmittel (VM_ID, Bezeichnung, Beschreibung, Lager_min, Lager_akt, Kosten) VALUES (50, '', '', , , );"
;;;;;;;
erdachte Einträge - bitte PRÜFEN bzw ERWEITERN/ERSETZEN;;;;;;;
